name,size,angle,img,title,desc,filetype,gif_speed
Mouse,0.075,115,mouse,Mouse,"A mouse (pl.mice) is a small rodent. /br Characteristically, mice are known to have a pointed snout, small rounded ears, a body-length scaly tail, and a high breeding rate. /br The best known mouse species is the common house mouse (Mus musculus). Mice are also popular as pets. /br In some places, certain kinds of field mice are locally common. They are known to invade homes for food and shelter.",png,0
Proton,8.33E-16,255,proton,Proton,"A proton is a stable subatomic particle with a charge of +1, its mass is slightly less than a neutron but almost 2000 times more than an electron! /br It is made up of 3 quarks, 2 up quarks (charge +2/3) and one down quark (charge -1/3). /br /br The size of the proton was discovered to be precisely 0.833 femtometers in 2019.",png,0
Neutron,8.40E-16,105,neutron,Neutron,"A neutron is a subatomic particle with a charge of 0, its mass is more than a proton but almost 2000 times more than an electron! /br It is made up of 3 quarks, 1 up quark (charge +2/3) and two down quarks (charge -1/3). /br /br The size of the neutrom is slightly larger than that of a proton.",png,0
Electron,3.10E-19,102,electron,Electron (),idk twin,png,0
Up Quark,4.30E-20,92,upquark,Up Quark,"An up quark (u) is the lightest of all 6 discovered quarks. This quark, along with the down quark form the nuclei of protons and neutrons. /br This quark has a charge of +2/3. /br /br The up quark was first observed by experiments at the Stanford Linear Accelerator Center in 1968!",png,0
Down Quark,4.30E-20,237,upquark,Down Quark,"A down quark (d) is the second lightest of all 6 discovered quarks, despite being slightly smaller than the up quark. This quark, along with the up quark form the nuclei protons and neutrons. /br This quark has a charge of -1/3. /br /br The down quark was also first observed by experiments at the Stanford Linear Accelerator Center in 1968.",png,0
Radio Wave Wavelength,1.00E+02,250,radio-wave,Radio Wave Wavelength ,"Radio waves are the largest of the electromagnetic spetrum. /br They range from 1-100 metres in wavelength, and are extensively used for communication including radio, TV, and cellular networks. /br /br FM radio wavelength are about 100x smaller than the wavelength shown right here.",gif,1
Micro Wave,3.00E-01,200,micro-wave,Microwave (max),"Microwaves are used for are used for cooking, satellite communication, and radar. /br Unsurprisingly, microwaves use microwave radiation. /br /br This wavelength of microwave is used for L Band communication (30cm). However, microwaves are able to be as small as a millimetre, pretty 'micro' if I say so myself! ",gif,1
Infared Radiation Wavelength,1.00E-03,97,infared,Infared Radiation Wavelength (max),"Infared Radiation is the wavelength dispared in heat energy and is used for heating, and seeing in the dark. /br /br It is not actually red to us, despite the name.",gif,1
Visible Light,7.50E-07,205,visible-light,Visible Light Wavelength (max),"Visible light is detected by the three colour receptors in the eye. /br /br With most humans being able to see from 400 to 750 nanometres, creating a scale from red to violet. /br However, some people have four colour receptors, (tetrachromacy) which allows them to see colour in far more detail than most humans can.",gif,1
UV light,4.00E-07,123,ultraviolet,Ultraviolet Light Wavelength (max),"Ultraviolet light is caused by the sun's rays, burning your skin, it is also used in sun beds. /br Exposure to both of these can cause skin cancer, as it is small enough to pierce the cells of your skin, causing ionising radiation inside your skin. So you might want to hold off on that tan.",gif,1
X-Ray,1.00E-08,255,x-ray,X-Ray wavelength (max),"X-rays are the second smallest wave on the EM spectrum and are used in X-rays. (O:) /br They are used by emitting high energy EM radiation at an object, and recording what reflects and what is absorbed. ",gif,1
Gamma Ray,1.00E-11,105,gamma-ray,Gamma Ray Wavelength (max),"The smallest type of EM radiation, gamma rays are emitted by gamma radiation, and have such a small wavelength they can easily pierce almost anything. /br /br  It can help clear tumors if you fire a concentrated amount at a certain point in the body, but these rays also have the risk of causing ionizing damage to living tissue. ",gif,1
Earth,12756000,211,earth,Earth,"Earth, (also known as Terra by astrology nerds) is the planet in the solar system you are likely playing this game on, it is the origin of humanity. /br /br It is the largest non gas giant planet in the solar system and has an atmosphere consiting of mainly nitrogen and oxygen, with argon and trace amounts of greenhouse gases present. /br However, the earth used to be a giant ball of flaming rock, which was even hotter than Venus, but eventually due to plants developing photosynthesis, the earth is now at a surviveable level of CO2 levels.",gif,2
